mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,8,800,600,200,220.000,82,0.017129,0.009,0.839,0.848,58.38
rain,8,800,600,200,220.000,83,0.000857,0.008,15.740,15.748,1166.86
rain,8,800,600,200,220.000,84,0.015758,0.009,1.372,1.381,63.46
rain,8,800,600,200,220.000,85,0.001390,0.008,15.188,15.196,719.42
rain,8,800,600,200,220.000,86,0.015205,0.009,1.388,1.398,65.77
rain,8,800,600,200,220.000,87,0.001407,0.009,14.695,14.704,710.73
rain,8,800,600,200,220.000,88,0.014714,0.008,0.813,0.822,67.96
rain,8,800,600,200,220.000,89,0.000843,0.027,10.998,11.025,1186.24
rain,8,800,600,200,220.000,90,0.011056,0.019,5.187,5.206,90.45
rain,8,800,600,200,220.000,91,0.005215,0.008,17.734,17.742,191.75
rain,8,800,600,200,220.000,92,0.017752,0.009,1.159,1.168,56.33
rain,8,800,600,200,220.000,93,0.001177,0.009,14.495,14.504,849.62
rain,8,800,600,200,220.000,94,0.014513,0.008,0.801,0.810,68.90
rain,8,800,600,200,220.000,95,0.000825,0.016,9.543,9.560,1212.12
rain,8,800,600,200,220.000,96,0.009568,0.008,6.217,6.225,104.52
rain,8,800,600,200,220.000,97,0.006234,0.008,16.658,16.667,160.41
rain,8,800,600,200,220.000,98,0.016676,0.008,0.984,0.992,59.97
rain,8,800,600,200,220.000,99,0.001002,0.008,9.374,9.382,998.00
rain,8,800,600,200,220.000,100,0.009391,0.015,6.199,6.214,106.48
rain,8,800,600,200,220.000,101,0.006223,0.009,10.515,10.524,160.69
rain,8,800,600,200,220.000,102,0.010533,0.009,6.246,6.255,94.94
rain,8,800,600,200,220.000,103,0.006264,0.008,16.713,16.722,159.64
rain,8,800,600,200,220.000,104,0.016731,0.009,0.875,0.883,59.77
rain,8,800,600,200,220.000,105,0.000896,0.010,9.299,9.310,1116.07
rain,8,800,600,200,220.000,106,0.009318,0.009,6.483,6.492,107.32
rain,8,800,600,200,220.000,107,0.006502,0.008,16.717,16.725,153.80
rain,8,800,600,200,220.000,108,0.016736,0.010,1.006,1.017,59.75
rain,8,800,600,200,220.000,109,0.001026,0.009,15.833,15.842,974.66
rain,8,800,600,200,220.000,110,0.015856,0.013,0.930,0.943,63.07
rain,8,800,600,200,220.000,111,0.000952,0.011,8.961,8.972,1050.42
