mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,0,800,600,200,220.000,83,0.008362,0.016,8.336,8.352,119.59
rain,0,800,600,200,220.000,84,0.008364,0.016,8.320,8.336,119.56
rain,0,800,600,200,220.000,85,0.008348,0.016,8.332,8.347,119.79
rain,0,800,600,200,220.000,86,0.008360,0.017,8.345,8.362,119.62
rain,0,800,600,200,220.000,87,0.008374,0.016,8.305,8.321,119.42
rain,0,800,600,200,220.000,88,0.008334,0.015,8.265,8.280,119.99
rain,0,800,600,200,220.000,89,0.008292,0.015,8.402,8.418,120.60
rain,0,800,600,200,220.000,90,0.008430,0.016,8.270,8.286,118.62
rain,0,800,600,200,220.000,91,0.008298,0.016,8.336,8.352,120.51
rain,0,800,600,200,220.000,92,0.008363,0.016,8.275,8.291,119.57
rain,0,800,600,200,220.000,93,0.008303,0.189,9.451,9.640,120.44
rain,0,800,600,200,220.000,94,0.009652,0.015,7.279,7.294,103.61
rain,0,800,600,200,220.000,95,0.007306,0.016,8.781,8.797,136.87
rain,0,800,600,200,220.000,96,0.008811,23.897,0.476,24.373,113.49
rain,0,800,600,200,220.000,97,0.024403,0.106,0.430,0.536,40.98
rain,0,800,600,200,220.000,98,0.000548,0.015,3.892,3.907,1824.82
rain,0,800,600,200,220.000,99,0.003932,0.016,3.991,4.007,254.32
rain,0,800,600,200,220.000,100,0.004023,0.016,8.275,8.291,248.57
rain,0,800,600,200,220.000,101,0.008303,0.015,8.184,8.199,120.44
rain,0,800,600,200,220.000,102,0.008212,0.016,8.498,8.514,121.77
rain,0,800,600,200,220.000,103,0.008526,0.015,8.174,8.189,117.29
rain,0,800,600,200,220.000,104,0.008202,0.020,8.430,8.450,121.92
rain,0,800,600,200,220.000,105,0.008462,0.015,8.776,8.790,118.18
rain,0,800,600,200,220.000,106,0.008804,0.018,7.881,7.899,113.58
rain,0,800,600,200,220.000,107,0.007911,0.015,8.696,8.711,126.41
rain,0,800,600,200,220.000,108,0.008724,0.015,7.911,7.927,114.63
rain,0,800,600,200,220.000,109,0.007939,0.015,8.246,8.261,125.96
rain,0,800,600,200,220.000,110,0.008273,0.016,8.372,8.388,120.88
rain,0,800,600,200,220.000,111,0.008400,0.016,8.292,8.309,119.05
rain,0,800,600,200,220.000,112,0.008322,0.016,8.501,8.517,120.16
rain,0,800,600,200,220.000,113,0.008530,0.022,10.466,10.488,117.23
rain,0,800,600,200,220.000,114,0.010503,0.016,6.091,6.107,95.21
rain,0,800,600,200,220.000,115,0.006120,0.021,9.037,9.058,163.40
rain,0,800,600,200,220.000,116,0.009072,0.020,7.695,7.715,110.23
