exec,mode,threads_req,threads_eff,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
seq,rain,0,12,800,600,500,160.000,0,0.030591,105.389,353.685,459.073,32.69
seq,rain,0,12,800,600,500,160.000,1,0.459403,100.639,35.164,135.804,2.18
seq,rain,0,12,800,600,500,160.000,2,0.135839,106.204,14.049,120.253,7.36
seq,rain,0,12,800,600,500,160.000,3,0.120298,96.421,39.364,135.785,8.31
seq,rain,0,12,800,600,500,160.000,4,0.135831,107.691,12.821,120.512,7.36
seq,rain,0,12,800,600,500,160.000,5,0.120561,2.544,7.753,10.297,8.29
seq,rain,0,12,800,600,500,160.000,6,0.010337,7.816,5.749,13.564,96.74
seq,rain,0,12,800,600,500,160.000,7,0.013604,8.291,10.668,18.959,73.51
seq,rain,0,12,800,600,500,160.000,8,0.019009,5.005,5.834,10.839,52.61
seq,rain,0,12,800,600,500,160.000,9,0.010878,0.040,8.307,8.346,91.93
seq,rain,0,12,800,600,500,160.000,10,0.008385,4.125,5.199,9.324,119.26
seq,rain,0,12,800,600,500,160.000,11,0.009370,9.592,10.216,19.808,106.72
seq,rain,0,12,800,600,500,160.000,12,0.019901,4.428,9.666,14.094,50.25
seq,rain,0,12,800,600,500,160.000,13,0.014144,1.985,12.324,14.309,70.70
seq,rain,0,12,800,600,500,160.000,14,0.014361,10.903,11.787,22.690,69.63
seq,rain,0,12,800,600,500,160.000,15,0.022742,1.403,11.583,12.986,43.97
seq,rain,0,12,800,600,500,160.000,16,0.013029,0.534,5.082,5.616,76.75
seq,rain,0,12,800,600,500,160.000,17,0.005670,0.281,5.810,6.091,176.37
seq,rain,0,12,800,600,500,160.000,18,0.006129,49.075,5.622,54.697,163.16
seq,rain,0,12,800,600,500,160.000,19,0.054741,8.424,4.731,13.155,18.27
seq,rain,0,12,800,600,500,160.000,20,0.013193,10.493,7.059,17.551,75.80
seq,rain,0,12,800,600,500,160.000,21,0.017605,8.441,9.931,18.372,56.80
seq,rain,0,12,800,600,500,160.000,22,0.018413,2.627,6.046,8.674,54.31
seq,rain,0,12,800,600,500,160.000,23,0.008714,0.787,11.939,12.726,114.76
seq,rain,0,12,800,600,500,160.000,24,0.012785,8.860,10.017,18.877,78.22
seq,rain,0,12,800,600,500,160.000,25,0.018920,5.016,14.994,20.010,52.85
seq,rain,0,12,800,600,500,160.000,26,0.020060,18.482,5.031,23.514,49.85
