exec,mode,threads_req,threads_eff,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
omp,rain,0,16,1280,720,300,160.000,71,0.006174,0.112,6.585,6.697,161.97
omp,rain,0,16,1280,720,300,160.000,72,0.006779,0.115,5.305,5.420,147.51
omp,rain,0,16,1280,720,300,160.000,73,0.005510,0.102,4.921,5.023,181.49
omp,rain,0,16,1280,720,300,160.000,74,0.005095,0.204,6.104,6.307,196.27
omp,rain,0,16,1280,720,300,160.000,75,0.006370,0.107,5.414,5.522,156.99
omp,rain,0,16,1280,720,300,160.000,76,0.005621,0.142,5.085,5.227,177.90
omp,rain,0,16,1280,720,300,160.000,77,0.005291,0.135,5.099,5.234,189.00
omp,rain,0,16,1280,720,300,160.000,78,0.005288,0.086,4.407,4.493,189.11
omp,rain,0,16,1280,720,300,160.000,79,0.004536,0.062,4.826,4.889,220.46
omp,rain,0,16,1280,720,300,160.000,80,0.004953,0.104,5.894,5.998,201.90
omp,rain,0,16,1280,720,300,160.000,81,0.006072,0.137,4.120,4.257,164.69
omp,rain,0,16,1280,720,300,160.000,82,0.004314,0.104,5.308,5.413,231.80
omp,rain,0,16,1280,720,300,160.000,83,0.005466,0.089,5.325,5.414,182.95
omp,rain,0,16,1280,720,300,160.000,84,0.005510,0.122,4.159,4.281,181.49
omp,rain,0,16,1280,720,300,160.000,85,0.004329,0.065,5.332,5.397,231.00
omp,rain,0,16,1280,720,300,160.000,86,0.005453,0.096,6.054,6.149,183.39
omp,rain,0,16,1280,720,300,160.000,87,0.006215,0.127,4.679,4.806,160.90
omp,rain,0,16,1280,720,300,160.000,88,0.004863,0.085,5.242,5.327,205.63
omp,rain,0,16,1280,720,300,160.000,89,0.005423,0.138,5.219,5.358,184.40
omp,rain,0,16,1280,720,300,160.000,90,0.005414,0.057,16.062,16.119,184.71
omp,rain,0,16,1280,720,300,160.000,91,0.016187,0.123,4.387,4.510,61.78
omp,rain,0,16,1280,720,300,160.000,92,0.004556,0.050,7.732,7.782,219.49
omp,rain,0,16,1280,720,300,160.000,93,0.007855,0.113,5.189,5.302,127.31
omp,rain,0,16,1280,720,300,160.000,94,0.005393,0.245,4.899,5.144,185.43
omp,rain,0,16,1280,720,300,160.000,95,0.005205,0.100,5.558,5.657,192.12
omp,rain,0,16,1280,720,300,160.000,96,0.005714,0.094,5.207,5.301,175.01
omp,rain,0,16,1280,720,300,160.000,97,0.005401,0.140,4.121,4.261,185.15
omp,rain,0,16,1280,720,300,160.000,98,0.004310,0.055,4.873,4.928,232.02
omp,rain,0,16,1280,720,300,160.000,99,0.004986,0.113,5.279,5.392,200.56
omp,rain,0,16,1280,720,300,160.000,100,0.005479,0.214,5.437,5.651,182.52
omp,rain,0,16,1280,720,300,160.000,101,0.005703,0.088,6.860,6.948,175.35
omp,rain,0,16,1280,720,300,160.000,102,0.007042,0.145,5.595,5.741,142.01
omp,rain,0,16,1280,720,300,160.000,103,0.005838,0.161,5.977,6.138,171.29
omp,rain,0,16,1280,720,300,160.000,104,0.006185,0.068,5.668,5.735,161.68
omp,rain,0,16,1280,720,300,160.000,105,0.005811,0.130,7.123,7.253,172.09
omp,rain,0,16,1280,720,300,160.000,106,0.007341,0.158,7.533,7.690,136.22
omp,rain,0,16,1280,720,300,160.000,107,0.007775,0.164,6.618,6.781,128.62
omp,rain,0,16,1280,720,300,160.000,108,0.006836,0.098,5.552,5.650,146.28
omp,rain,0,16,1280,720,300,160.000,109,0.005712,0.062,7.896,7.958,175.07
omp,rain,0,16,1280,720,300,160.000,110,0.008093,0.167,6.218,6.385,123.56
omp,rain,0,16,1280,720,300,160.000,111,0.006458,0.134,6.130,6.264,154.85
omp,rain,0,16,1280,720,300,160.000,112,0.006387,0.132,7.640,7.772,156.57
omp,rain,0,16,1280,720,300,160.000,113,0.008669,0.067,5.361,5.428,115.35
omp,rain,0,16,1280,720,300,160.000,114,0.005520,0.113,7.658,7.770,181.16
omp,rain,0,16,1280,720,300,160.000,115,0.007866,0.161,6.300,6.460,127.13
omp,rain,0,16,1280,720,300,160.000,116,0.006527,0.121,5.728,5.848,153.21
omp,rain,0,16,1280,720,300,160.000,117,0.005915,0.127,5.953,6.080,169.06
omp,rain,0,16,1280,720,300,160.000,118,0.006138,0.097,4.761,4.858,162.92
omp,rain,0,16,1280,720,300,160.000,119,0.004911,0.095,5.338,5.434,203.62
omp,rain,0,16,1280,720,300,160.000,120,0.005505,0.135,5.799,5.934,181.65
omp,rain,0,16,1280,720,300,160.000,121,0.005991,0.072,5.310,5.382,166.92
omp,rain,0,16,1280,720,300,160.000,122,0.005446,0.088,5.692,5.781,183.62
omp,rain,0,16,1280,720,300,160.000,123,0.005845,0.116,13.250,13.366,171.09
omp,rain,0,16,1280,720,300,160.000,124,0.013588,0.142,8.447,8.588,73.59
omp,rain,0,16,1280,720,300,160.000,125,0.008707,0.159,9.430,9.589,114.85
omp,rain,0,16,1280,720,300,160.000,126,0.009710,0.219,6.890,7.109,102.99
omp,rain,0,16,1280,720,300,160.000,127,0.007192,0.165,6.682,6.847,139.04
omp,rain,0,16,1280,720,300,160.000,128,0.006952,0.241,6.381,6.622,143.84
omp,rain,0,16,1280,720,300,160.000,129,0.006694,0.131,5.734,5.865,149.39
omp,rain,0,16,1280,720,300,160.000,130,0.005957,0.147,6.034,6.181,167.87
omp,rain,0,16,1280,720,300,160.000,131,0.006258,0.150,4.720,4.870,159.80
omp,rain,0,16,1280,720,300,160.000,132,0.004939,0.120,5.182,5.302,202.47
omp,rain,0,16,1280,720,300,160.000,133,0.005366,0.154,5.149,5.303,186.36
omp,rain,0,16,1280,720,300,160.000,134,0.005396,0.149,4.870,5.019,185.32
omp,rain,0,16,1280,720,300,160.000,135,0.005077,0.088,4.312,4.400,196.97
omp,rain,0,16,1280,720,300,160.000,136,0.004476,0.122,5.215,5.337,223.41
omp,rain,0,16,1280,720,300,160.000,137,0.005450,0.107,5.328,5.435,183.49
omp,rain,0,16,1280,720,300,160.000,138,0.005494,0.064,3.678,3.743,182.02
omp,rain,0,16,1280,720,300,160.000,139,0.003782,0.043,4.173,4.216,264.41
omp,rain,0,16,1280,720,300,160.000,140,0.004271,0.053,12.182,12.235,234.14
omp,rain,0,16,1280,720,300,160.000,141,0.012362,0.273,7.811,8.084,80.89
omp,rain,0,16,1280,720,300,160.000,142,0.008162,0.177,4.545,4.721,122.52
omp,rain,0,16,1280,720,300,160.000,143,0.004786,0.071,4.466,4.537,208.94
omp,rain,0,16,1280,720,300,160.000,144,0.004614,0.118,5.795,5.913,216.73
omp,rain,0,16,1280,720,300,160.000,145,0.005992,0.159,5.206,5.365,166.89
omp,rain,0,16,1280,720,300,160.000,146,0.005430,0.132,4.175,4.307,184.16
omp,rain,0,16,1280,720,300,160.000,147,0.004363,0.094,5.850,5.944,229.20
omp,rain,0,16,1280,720,300,160.000,148,0.006018,0.138,5.166,5.304,166.17
omp,rain,0,16,1280,720,300,160.000,149,0.005361,0.096,4.096,4.192,186.53
omp,rain,0,16,1280,720,300,160.000,150,0.004248,0.061,4.438,4.500,235.40
omp,rain,0,16,1280,720,300,160.000,151,0.004564,0.126,6.449,6.574,219.11
omp,rain,0,16,1280,720,300,160.000,152,0.006628,0.109,4.787,4.897,150.88
omp,rain,0,16,1280,720,300,160.000,153,0.004962,0.127,5.110,5.238,201.53
omp,rain,0,16,1280,720,300,160.000,154,0.005307,0.111,5.550,5.661,188.43
omp,rain,0,16,1280,720,300,160.000,155,0.005729,0.129,4.061,4.191,174.55
omp,rain,0,16,1280,720,300,160.000,156,0.004257,0.117,4.556,4.674,234.91
omp,rain,0,16,1280,720,300,160.000,157,0.004821,0.160,6.153,6.313,207.43
omp,rain,0,16,1280,720,300,160.000,158,0.006412,0.163,4.227,4.390,155.96
omp,rain,0,16,1280,720,300,160.000,159,0.004443,0.055,4.481,4.536,225.07
omp,rain,0,16,1280,720,300,160.000,160,0.004603,0.110,6.634,6.745,217.25
omp,rain,0,16,1280,720,300,160.000,161,0.006815,0.119,4.805,4.924,146.74
omp,rain,0,16,1280,720,300,160.000,162,0.004985,0.108,4.662,4.769,200.60
omp,rain,0,16,1280,720,300,160.000,163,0.004831,0.118,7.322,7.439,207.00
omp,rain,0,16,1280,720,300,160.000,164,0.007528,0.148,4.636,4.784,132.84
omp,rain,0,16,1280,720,300,160.000,165,0.004844,0.105,4.356,4.461,206.44
omp,rain,0,16,1280,720,300,160.000,166,0.004516,0.106,6.409,6.515,221.43
omp,rain,0,16,1280,720,300,160.000,167,0.006596,0.129,4.227,4.356,151.61
omp,rain,0,16,1280,720,300,160.000,168,0.004434,0.060,4.077,4.137,225.53
omp,rain,0,16,1280,720,300,160.000,169,0.004215,0.115,4.705,4.820,237.25
omp,rain,0,16,1280,720,300,160.000,170,0.004905,0.149,5.327,5.476,203.87
omp,rain,0,16,1280,720,300,160.000,171,0.005540,0.089,4.092,4.182,180.51
omp,rain,0,16,1280,720,300,160.000,172,0.004220,0.050,6.073,6.123,236.97
omp,rain,0,16,1280,720,300,160.000,173,0.006196,0.178,5.448,5.626,161.39
omp,rain,0,16,1280,720,300,160.000,174,0.005689,0.095,3.691,3.786,175.78
omp,rain,0,16,1280,720,300,160.000,175,0.003826,0.035,5.248,5.284,261.37
omp,rain,0,16,1280,720,300,160.000,176,0.005344,0.100,5.822,5.921,187.13
omp,rain,0,16,1280,720,300,160.000,177,0.005981,0.132,3.875,4.007,167.20
omp,rain,0,16,1280,720,300,160.000,178,0.004050,0.055,3.933,3.988,246.91
omp,rain,0,16,1280,720,300,160.000,179,0.004043,0.070,5.065,5.135,247.34
omp,rain,0,16,1280,720,300,160.000,180,0.005203,0.076,5.808,5.884,192.20
omp,rain,0,16,1280,720,300,160.000,181,0.005930,0.077,3.948,4.025,168.63
omp,rain,0,16,1280,720,300,160.000,182,0.004070,0.044,4.422,4.467,245.70
omp,rain,0,16,1280,720,300,160.000,183,0.004522,0.066,5.221,5.287,221.14
omp,rain,0,16,1280,720,300,160.000,184,0.005360,0.129,4.467,4.596,186.57
omp,rain,0,16,1280,720,300,160.000,185,0.004644,0.101,4.832,4.934,215.33
omp,rain,0,16,1280,720,300,160.000,186,0.005020,0.156,6.531,6.686,199.20
omp,rain,0,16,1280,720,300,160.000,187,0.006758,0.148,4.883,5.032,147.97
omp,rain,0,16,1280,720,300,160.000,188,0.005099,0.135,6.253,6.388,196.12
omp,rain,0,16,1280,720,300,160.000,189,0.006465,0.094,7.860,7.954,154.68
omp,rain,0,16,1280,720,300,160.000,190,0.008062,0.182,6.883,7.065,124.04
omp,rain,0,16,1280,720,300,160.000,191,0.007129,0.121,6.941,7.061,140.27
omp,rain,0,16,1280,720,300,160.000,192,0.007164,0.142,6.586,6.728,139.59
omp,rain,0,16,1280,720,300,160.000,193,0.006821,0.144,7.029,7.174,146.61
omp,rain,0,16,1280,720,300,160.000,194,0.007291,0.174,7.847,8.021,137.16
omp,rain,0,16,1280,720,300,160.000,195,0.008100,0.158,5.514,5.672,123.46
omp,rain,0,16,1280,720,300,160.000,196,0.005735,0.152,8.521,8.673,174.37
omp,rain,0,16,1280,720,300,160.000,197,0.008766,0.133,5.064,5.197,114.08
omp,rain,0,16,1280,720,300,160.000,198,0.005256,0.091,7.729,7.820,190.26
omp,rain,0,16,1280,720,300,160.000,199,0.007922,0.153,5.792,5.945,126.23
omp,rain,0,16,1280,720,300,160.000,200,0.006023,0.152,5.234,5.387,166.03
omp,rain,0,16,1280,720,300,160.000,201,0.005461,0.131,7.200,7.331,183.12
omp,rain,0,16,1280,720,300,160.000,202,0.007401,0.104,5.287,5.391,135.12
omp,rain,0,16,1280,720,300,160.000,203,0.005468,0.139,6.448,6.586,182.88
omp,rain,0,16,1280,720,300,160.000,204,0.006702,0.180,6.350,6.530,149.21
omp,rain,0,16,1280,720,300,160.000,205,0.006622,0.163,5.358,5.521,151.01
omp,rain,0,16,1280,720,300,160.000,206,0.005584,0.139,8.654,8.793,179.08
